Linha,Rotulo Verdadeiro,Rotulo Classificado
1010,3.0,3.0
1011,3.0,3.0
1012,2.0,2.0
1013,1.0,1.0
1014,1.0,1.0
1015,1.0,1.0
1016,1.0,1.0
1017,1.0,1.0
1018,2.0,2.0
1019,3.0,3.0
1020,3.0,3.0
1021,1.0,1.0
1022,1.0,1.0
1023,3.0,3.0
1024,1.0,1.0
1025,2.0,2.0
1026,2.0,2.0
1027,1.0,1.0
1028,1.0,1.0
1029,2.0,2.0
1030,2.0,2.0
1031,1.0,1.0
1032,3.0,3.0
1033,1.0,1.0
1034,1.0,1.0
1035,1.0,1.0
1036,1.0,1.0
1037,2.0,2.0
1038,2.0,2.0
1039,1.0,1.0
1040,3.0,3.0
1041,3.0,3.0
1042,3.0,3.0
1043,3.0,3.0
1044,1.0,1.0
1045,3.0,3.0
1046,1.0,1.0
1047,1.0,1.0
1048,1.0,1.0
1049,1.0,1.0
1050,2.0,2.0
1051,1.0,1.0
1052,3.0,3.0
1053,1.0,1.0
1054,1.0,1.0
1055,3.0,3.0
1056,3.0,3.0
1057,1.0,1.0
1058,1.0,1.0
1059,3.0,3.0
1060,2.0,2.0
1061,3.0,3.0
1062,3.0,3.0
1063,3.0,3.0
1064,2.0,2.0
1065,1.0,1.0
1066,2.0,2.0
1067,2.0,2.0
1068,1.0,1.0
1069,2.0,2.0
1070,3.0,3.0
1071,3.0,3.0
1072,1.0,1.0
1073,1.0,1.0
1074,1.0,1.0
1075,1.0,1.0
1076,1.0,1.0
1077,1.0,1.0
1078,1.0,1.0
1079,1.0,1.0
1080,2.0,2.0
1081,1.0,1.0
1082,2.0,2.0
1083,2.0,2.0
1084,2.0,2.0
1085,2.0,2.0
1086,3.0,3.0
1087,2.0,2.0
1088,1.0,1.0
1089,2.0,2.0
1090,2.0,2.0
1091,1.0,1.0
1092,1.0,1.0
1093,1.0,1.0
1094,1.0,1.0
1095,3.0,3.0
1096,3.0,3.0
1097,1.0,1.0
1098,1.0,1.0
1099,2.0,2.0
1100,3.0,3.0
1101,1.0,1.0
1102,1.0,1.0
1103,1.0,1.0
1104,2.0,2.0
1105,3.0,3.0
1106,1.0,1.0
1107,2.0,2.0
1108,1.0,1.0
1109,1.0,1.0
1110,1.0,1.0
1111,1.0,1.0
1112,1.0,1.0
1113,1.0,1.0
1114,3.0,3.0
1115,2.0,2.0
1116,2.0,2.0
1117,1.0,1.0
1118,1.0,1.0
1119,3.0,3.0
1120,2.0,2.0
1121,3.0,3.0
1122,1.0,1.0
1123,1.0,1.0
1124,3.0,3.0
1125,2.0,2.0
1126,1.0,1.0
1127,1.0,1.0
1128,1.0,1.0
1129,2.0,2.0
1130,2.0,2.0
1131,1.0,1.0
1132,3.0,3.0
1133,1.0,1.0
1134,2.0,2.0
1135,1.0,1.0
1136,1.0,1.0
1137,1.0,1.0
1138,1.0,1.0
1139,3.0,3.0
1140,2.0,2.0
1141,2.0,2.0
1142,2.0,2.0
1143,1.0,1.0
1144,2.0,2.0
1145,1.0,1.0
1146,3.0,3.0
1147,3.0,3.0
1148,2.0,2.0
1149,1.0,1.0
1150,3.0,3.0
1151,3.0,3.0
1152,2.0,2.0
1153,2.0,2.0
1154,3.0,3.0
1155,1.0,1.0
1156,3.0,3.0
1157,3.0,3.0
1158,3.0,3.0
1159,1.0,1.0
1160,1.0,1.0
1161,3.0,3.0
1162,3.0,3.0
1163,2.0,2.0
1164,1.0,1.0
1165,2.0,2.0
1166,1.0,1.0
1167,1.0,1.0
1168,2.0,2.0
1169,1.0,1.0
1170,3.0,3.0
1171,1.0,1.0
1172,1.0,1.0
1173,3.0,3.0
1174,2.0,2.0
1175,3.0,3.0
1176,3.0,3.0
1177,1.0,1.0
1178,3.0,3.0
1179,2.0,2.0
1180,1.0,1.0
1181,1.0,1.0
1182,3.0,3.0
1183,3.0,3.0
1184,1.0,1.0
1185,1.0,1.0
1186,1.0,1.0
1187,1.0,1.0
1188,1.0,1.0
1189,3.0,3.0
1190,3.0,3.0
1191,2.0,2.0
1192,2.0,2.0
1193,2.0,2.0
1194,2.0,2.0
1195,1.0,1.0
1196,3.0,3.0
1197,1.0,1.0
1198,1.0,1.0
1199,2.0,2.0
1200,2.0,2.0
1201,2.0,2.0
1202,3.0,3.0
1203,3.0,3.0
1204,1.0,1.0
1205,3.0,3.0
1206,3.0,3.0
1207,2.0,2.0
1208,3.0,3.0
1209,1.0,1.0
1210,1.0,1.0
1211,3.0,3.0
1212,2.0,2.0
1213,3.0,3.0
1214,1.0,1.0
1215,1.0,1.0
1216,1.0,1.0
1217,3.0,3.0
1218,3.0,3.0
1219,3.0,3.0
1220,3.0,3.0
1221,2.0,2.0
1222,1.0,1.0
1223,3.0,3.0
1224,2.0,2.0
1225,2.0,2.0
1226,1.0,1.0
1227,1.0,1.0
1228,2.0,2.0
1229,1.0,1.0
1230,3.0,3.0
1231,3.0,3.0
1232,1.0,1.0
1233,1.0,1.0
1234,1.0,1.0
1235,3.0,3.0
1236,3.0,3.0
1237,3.0,3.0
1238,1.0,1.0
1239,2.0,2.0
1240,3.0,3.0
1241,3.0,3.0
1242,3.0,3.0
1243,3.0,3.0
1244,1.0,1.0
1245,2.0,2.0
1246,1.0,1.0
1247,2.0,2.0
1248,3.0,3.0
1249,1.0,1.0
1250,3.0,3.0
1251,1.0,1.0
1252,3.0,3.0
1253,2.0,2.0
1254,3.0,3.0
1255,1.0,1.0
1256,3.0,3.0
1257,3.0,3.0
1258,3.0,3.0
1259,2.0,2.0
1260,1.0,1.0
1261,1.0,1.0
1262,3.0,3.0
1263,1.0,1.0
1264,1.0,1.0
1265,3.0,3.0
1266,1.0,1.0
1267,1.0,1.0
1268,1.0,1.0
1269,3.0,3.0
1270,2.0,2.0
1271,3.0,3.0
1272,3.0,3.0
1273,3.0,3.0
1274,3.0,3.0
1275,2.0,2.0
1276,1.0,1.0
1277,1.0,1.0
1278,1.0,1.0
1279,1.0,1.0
1280,3.0,3.0
1281,1.0,1.0
1282,1.0,1.0
1283,1.0,1.0
1284,1.0,1.0
1285,2.0,2.0
1286,3.0,3.0
1287,3.0,3.0
1288,2.0,2.0
1289,3.0,3.0
1290,3.0,3.0
1291,3.0,3.0
1292,2.0,2.0
1293,2.0,2.0
1294,2.0,2.0
1295,1.0,1.0
1296,3.0,3.0
1297,1.0,1.0
1298,1.0,1.0
1299,2.0,2.0
1300,3.0,3.0
1301,2.0,2.0
1302,3.0,3.0
1303,3.0,3.0
1304,1.0,1.0
1305,2.0,2.0
1306,2.0,2.0
1307,1.0,1.0
1308,1.0,1.0
1309,3.0,3.0
1310,2.0,2.0
1311,1.0,1.0
1312,3.0,3.0
1313,1.0,1.0
1314,3.0,3.0
1315,2.0,2.0
1316,1.0,1.0
1317,2.0,2.0
1318,2.0,2.0
1319,2.0,2.0
1320,3.0,3.0
1321,3.0,3.0
1322,1.0,1.0
1323,3.0,3.0
1324,1.0,1.0
1325,3.0,3.0
1326,1.0,1.0
1327,1.0,1.0
1328,1.0,1.0
1329,2.0,2.0
1330,1.0,1.0
1331,2.0,2.0
1332,2.0,2.0
1333,2.0,2.0
1334,2.0,2.0
1335,1.0,1.0
1336,1.0,1.0
1337,1.0,1.0
1338,1.0,1.0
1339,3.0,3.0
1340,1.0,1.0
1341,3.0,3.0
1342,3.0,3.0
1343,1.0,1.0
1344,1.0,1.0
1345,3.0,3.0
1346,3.0,3.0
1347,2.0,2.0
1348,1.0,1.0
1349,2.0,2.0
1350,2.0,2.0
1351,2.0,2.0
1352,1.0,1.0
1353,3.0,3.0
1354,3.0,3.0
1355,2.0,2.0
1356,1.0,1.0
1357,1.0,1.0
1358,3.0,3.0
